source_index|h_power|x_power|y_power|expr
109|0|1|8|-auxP3_0_7*h_1_1-auxP3_0_8*h_1_0-auxP3_1_2-auxP3_1_3*h_0_5-auxP3_1_4*h_0_4-auxP3_1_5*h_0_3-auxP3_1_6*h_0_2-auxP3_1_7*h_0_1-auxP3_1_8*h_0_0+auxP4_1_8
110|0|1|9|-auxP3_0_8*h_1_1-auxP3_0_9*h_1_0-auxP3_1_3-auxP3_1_4*h_0_5-auxP3_1_5*h_0_4-auxP3_1_6*h_0_3-auxP3_1_7*h_0_2-auxP3_1_8*h_0_1-auxP3_1_9*h_0_0+auxP4_1_9
111|0|1|10|-auxP3_0_10*h_1_0-auxP3_0_9*h_1_1-auxP3_1_10*h_0_0-auxP3_1_4-auxP3_1_5*h_0_5-auxP3_1_6*h_0_4-auxP3_1_7*h_0_3-auxP3_1_8*h_0_2-auxP3_1_9*h_0_1+auxP4_1_10
112|0|1|11|-auxP3_0_10*h_1_1-auxP3_0_11*h_1_0-auxP3_1_10*h_0_1-auxP3_1_11*h_0_0-auxP3_1_5-auxP3_1_6*h_0_5-auxP3_1_7*h_0_4-auxP3_1_8*h_0_3-auxP3_1_9*h_0_2+auxP4_1_11
113|0|1|12|-auxP3_0_11*h_1_1-auxP3_0_12*h_1_0-auxP3_1_10*h_0_2-auxP3_1_11*h_0_1-auxP3_1_12*h_0_0-auxP3_1_6-auxP3_1_7*h_0_5-auxP3_1_8*h_0_4-auxP3_1_9*h_0_3+auxP4_1_12
114|0|1|13|-auxP3_0_12*h_1_1-auxP3_0_13*h_1_0-auxP3_1_10*h_0_3-auxP3_1_11*h_0_2-auxP3_1_12*h_0_1-auxP3_1_13*h_0_0-auxP3_1_7-auxP3_1_8*h_0_5-auxP3_1_9*h_0_4+auxP4_1_13
115|0|1|14|-auxP3_0_13*h_1_1-auxP3_0_14*h_1_0-auxP3_1_10*h_0_4-auxP3_1_11*h_0_3-auxP3_1_12*h_0_2-auxP3_1_13*h_0_1-auxP3_1_8-auxP3_1_9*h_0_5+auxP4_1_14
116|0|1|15|-auxP3_0_14*h_1_1-auxP3_0_15*h_1_0-auxP3_1_10*h_0_5-auxP3_1_11*h_0_4-auxP3_1_12*h_0_3-auxP3_1_13*h_0_2-auxP3_1_9+auxP4_1_15
117|0|1|16|-auxP3_0_15*h_1_1-auxP3_0_16*h_1_0-auxP3_1_10-auxP3_1_11*h_0_5-auxP3_1_12*h_0_4-auxP3_1_13*h_0_3+auxP4_1_16
118|0|1|17|-auxP3_0_16*h_1_1-auxP3_0_17*h_1_0-auxP3_1_11-auxP3_1_12*h_0_5-auxP3_1_13*h_0_4+auxP4_1_17
119|0|1|18|-auxP3_0_17*h_1_1-auxP3_1_12-auxP3_1_13*h_0_5+auxP4_1_18-h_1_0
120|0|1|19|-auxP3_1_13+auxP4_1_19-h_1_1
121|0|2|0|-A4_2_0-auxP3_1_0*h_1_0-auxP3_2_0*h_0_0+auxP4_2_0
122|0|2|1|-A4_2_1-auxP3_1_0*h_1_1-auxP3_1_1*h_1_0-auxP3_2_0*h_0_1-auxP3_2_1*h_0_0+auxP4_2_1
123|0|2|2|-A4_2_2-auxP3_1_1*h_1_1-auxP3_1_2*h_1_0-auxP3_2_0*h_0_2-auxP3_2_1*h_0_1-auxP3_2_2*h_0_0+auxP4_2_2
124|0|2|3|-A4_2_3-auxP3_1_2*h_1_1-auxP3_1_3*h_1_0-auxP3_2_0*h_0_3-auxP3_2_1*h_0_2-auxP3_2_2*h_0_1-auxP3_2_3*h_0_0+auxP4_2_3
125|0|2|4|-A4_2_4-auxP3_1_3*h_1_1-auxP3_1_4*h_1_0-auxP3_2_0*h_0_4-auxP3_2_1*h_0_3-auxP3_2_2*h_0_2-auxP3_2_3*h_0_1-auxP3_2_4*h_0_0+auxP4_2_4
126|0|2|5|-A4_2_5-auxP3_1_4*h_1_1-auxP3_1_5*h_1_0-auxP3_2_0*h_0_5-auxP3_2_1*h_0_4-auxP3_2_2*h_0_3-auxP3_2_3*h_0_2-auxP3_2_4*h_0_1-auxP3_2_5*h_0_0+auxP4_2_5
127|0|2|6|-auxP3_1_5*h_1_1-auxP3_1_6*h_1_0-auxP3_2_0-auxP3_2_1*h_0_5-auxP3_2_2*h_0_4-auxP3_2_3*h_0_3-auxP3_2_4*h_0_2-auxP3_2_5*h_0_1-auxP3_2_6*h_0_0+auxP4_2_6
128|0|2|7|-auxP3_1_6*h_1_1-auxP3_1_7*h_1_0-auxP3_2_1-auxP3_2_2*h_0_5-auxP3_2_3*h_0_4-auxP3_2_4*h_0_3-auxP3_2_5*h_0_2-auxP3_2_6*h_0_1-auxP3_2_7*h_0_0+auxP4_2_7
129|0|2|8|-auxP3_1_7*h_1_1-auxP3_1_8*h_1_0-auxP3_2_2-auxP3_2_3*h_0_5-auxP3_2_4*h_0_4-auxP3_2_5*h_0_3-auxP3_2_6*h_0_2-auxP3_2_7*h_0_1-auxP3_2_8*h_0_0+auxP4_2_8
130|0|2|9|-A2_2_3*h_0_0-auxP3_1_8*h_1_1-auxP3_1_9*h_1_0-auxP3_2_3-auxP3_2_4*h_0_5-auxP3_2_5*h_0_4-auxP3_2_6*h_0_3-auxP3_2_7*h_0_2-auxP3_2_8*h_0_1+auxP4_2_9
131|0|2|10|-A2_2_3*h_0_1-auxP3_1_10*h_1_0-auxP3_1_9*h_1_1-auxP3_2_4-auxP3_2_5*h_0_5-auxP3_2_6*h_0_4-auxP3_2_7*h_0_3-auxP3_2_8*h_0_2+auxP4_2_10
132|0|2|11|-A2_2_3*h_0_2-auxP3_1_10*h_1_1-auxP3_1_11*h_1_0-auxP3_2_5-auxP3_2_6*h_0_5-auxP3_2_7*h_0_4-auxP3_2_8*h_0_3+auxP4_2_11
133|0|2|12|-A2_2_3*h_0_3-auxP3_1_11*h_1_1-auxP3_1_12*h_1_0-auxP3_2_6-auxP3_2_7*h_0_5-auxP3_2_8*h_0_4+auxP4_2_12
134|0|2|13|-A2_2_3*h_0_4-auxP3_1_12*h_1_1-auxP3_1_13*h_1_0-auxP3_2_7-auxP3_2_8*h_0_5+auxP4_2_13
135|0|2|14|-A2_2_3*h_0_5-auxP3_1_13*h_1_1-auxP3_2_8+auxP4_2_14
136|0|3|0|-A4_3_0-auxP3_2_0*h_1_0-auxP3_3_0*h_0_0+auxP4_3_0
137|0|3|1|-A4_3_1-auxP3_2_0*h_1_1-auxP3_2_1*h_1_0-auxP3_3_0*h_0_1-auxP3_3_1*h_0_0+auxP4_3_1
138|0|3|2|-A4_3_2-auxP3_2_1*h_1_1-auxP3_2_2*h_1_0-auxP3_3_0*h_0_2-auxP3_3_1*h_0_1-auxP3_3_2*h_0_0+auxP4_3_2
139|0|3|3|-A4_3_3-auxP3_2_2*h_1_1-auxP3_2_3*h_1_0-auxP3_3_0*h_0_3-auxP3_3_1*h_0_2-auxP3_3_2*h_0_1-auxP3_3_3*h_0_0+auxP4_3_3
140|0|3|4|-A4_3_4-auxP3_2_3*h_1_1-auxP3_2_4*h_1_0-auxP3_3_0*h_0_4-auxP3_3_1*h_0_3-auxP3_3_2*h_0_2-auxP3_3_3*h_0_1-auxP3_3_4*h_0_0+auxP4_3_4
