index	exponent_vector	monomial
120	0,5,5,1,0,0,0	q2_0^5*q3_0^5*q4_0
121	9,0,3,3,0,0,0	b4^9*q3_0^3*q4_0^3
122	0,6,2,3,0,0,0	q2_0^6*q3_0^2*q4_0^3
123	2,5,2,3,0,0,0	b4^2*q2_0^5*q3_0^2*q4_0^3
124	4,4,2,3,0,0,0	b4^4*q2_0^4*q3_0^2*q4_0^3
125	6,3,2,3,0,0,0	b4^6*q2_0^3*q3_0^2*q4_0^3
126	8,2,2,3,0,0,0	b4^8*q2_0^2*q3_0^2*q4_0^3
127	10,1,2,3,0,0,0	b4^10*q2_0*q3_0^2*q4_0^3
128	12,0,2,3,0,0,0	b4^12*q3_0^2*q4_0^3
129	1,7,1,3,0,0,0	b4*q2_0^7*q3_0*q4_0^3
130	3,6,1,3,0,0,0	b4^3*q2_0^6*q3_0*q4_0^3
131	5,5,1,3,0,0,0	b4^5*q2_0^5*q3_0*q4_0^3
132	7,4,1,3,0,0,0	b4^7*q2_0^4*q3_0*q4_0^3
133	9,3,1,3,0,0,0	b4^9*q2_0^3*q3_0*q4_0^3
134	11,2,1,3,0,0,0	b4^11*q2_0^2*q3_0*q4_0^3
135	13,1,1,3,0,0,0	b4^13*q2_0*q3_0*q4_0^3
136	15,0,1,3,0,0,0	b4^15*q3_0*q4_0^3
137	0,9,0,3,0,0,0	q2_0^9*q4_0^3
138	2,8,0,3,0,0,0	b4^2*q2_0^8*q4_0^3
139	4,7,0,3,0,0,0	b4^4*q2_0^7*q4_0^3
140	6,6,0,3,0,0,0	b4^6*q2_0^6*q4_0^3
141	8,5,0,3,0,0,0	b4^8*q2_0^5*q4_0^3
142	10,4,0,3,0,0,0	b4^10*q2_0^4*q4_0^3
143	1,0,7,2,0,0,0	b4*q3_0^7*q4_0^2
144	0,2,6,2,0,0,0	q2_0^2*q3_0^6*q4_0^2
145	2,1,6,2,0,0,0	b4^2*q2_0*q3_0^6*q4_0^2
146	4,0,6,2,0,0,0	b4^4*q3_0^6*q4_0^2
147	1,3,5,2,0,0,0	b4*q2_0^3*q3_0^5*q4_0^2
148	3,2,5,2,0,0,0	b4^3*q2_0^2*q3_0^5*q4_0^2
149	5,1,5,2,0,0,0	b4^5*q2_0*q3_0^5*q4_0^2
150	7,0,5,2,0,0,0	b4^7*q3_0^5*q4_0^2
151	0,5,4,2,0,0,0	q2_0^5*q3_0^4*q4_0^2
152	0,8,2,2,0,0,0	q2_0^8*q3_0^2*q4_0^2
153	0,3,3,4,0,0,0	q2_0^3*q3_0^3*q4_0^4
154	2,2,3,4,0,0,0	b4^2*q2_0^2*q3_0^3*q4_0^4
155	4,1,3,4,0,0,0	b4^4*q2_0*q3_0^3*q4_0^4
156	6,0,3,4,0,0,0	b4^6*q3_0^3*q4_0^4
157	1,4,2,4,0,0,0	b4*q2_0^4*q3_0^2*q4_0^4
158	3,3,2,4,0,0,0	b4^3*q2_0^3*q3_0^2*q4_0^4
159	5,2,2,4,0,0,0	b4^5*q2_0^2*q3_0^2*q4_0^4
160	7,1,2,4,0,0,0	b4^7*q2_0*q3_0^2*q4_0^4
161	9,0,2,4,0,0,0	b4^9*q3_0^2*q4_0^4
162	0,6,1,4,0,0,0	q2_0^6*q3_0*q4_0^4
163	2,5,1,4,0,0,0	b4^2*q2_0^5*q3_0*q4_0^4
164	4,4,1,4,0,0,0	b4^4*q2_0^4*q3_0*q4_0^4
165	6,3,1,4,0,0,0	b4^6*q2_0^3*q3_0*q4_0^4
166	8,2,1,4,0,0,0	b4^8*q2_0^2*q3_0*q4_0^4
167	10,1,1,4,0,0,0	b4^10*q2_0*q3_0*q4_0^4
168	12,0,1,4,0,0,0	b4^12*q3_0*q4_0^4
169	1,7,0,4,0,0,0	b4*q2_0^7*q4_0^4
170	3,6,0,4,0,0,0	b4^3*q2_0^6*q4_0^4
171	5,5,0,4,0,0,0	b4^5*q2_0^5*q4_0^4
172	7,4,0,4,0,0,0	b4^7*q2_0^4*q4_0^4
173	9,3,0,4,0,0,0	b4^9*q2_0^3*q4_0^4
174	11,2,0,4,0,0,0	b4^11*q2_0^2*q4_0^4
175	13,1,0,4,0,0,0	b4^13*q2_0*q4_0^4
176	15,0,0,4,0,0,0	b4^15*q4_0^4
177	1,0,6,3,0,0,0	b4*q3_0^6*q4_0^3
178	0,2,5,3,0,0,0	q2_0^2*q3_0^5*q4_0^3
179	2,1,5,3,0,0,0	b4^2*q2_0*q3_0^5*q4_0^3
180	4,0,5,3,0,0,0	b4^4*q3_0^5*q4_0^3
181	1,3,4,3,0,0,0	b4*q2_0^3*q3_0^4*q4_0^3
182	3,2,4,3,0,0,0	b4^3*q2_0^2*q3_0^4*q4_0^3
183	5,1,4,3,0,0,0	b4^5*q2_0*q3_0^4*q4_0^3
184	7,0,4,3,0,0,0	b4^7*q3_0^4*q4_0^3
185	0,5,3,3,0,0,0	q2_0^5*q3_0^3*q4_0^3
186	2,4,3,3,0,0,0	b4^2*q2_0^4*q3_0^3*q4_0^3
187	4,3,3,3,0,0,0	b4^4*q2_0^3*q3_0^3*q4_0^3
188	6,2,3,3,0,0,0	b4^6*q2_0^2*q3_0^3*q4_0^3
189	8,1,3,3,0,0,0	b4^8*q2_0*q3_0^3*q4_0^3
190	0,8,1,3,0,0,0	q2_0^8*q3_0*q4_0^3
191	0,1,7,2,0,0,0	q2_0*q3_0^7*q4_0^2
192	0,4,5,2,0,0,0	q2_0^4*q3_0^5*q4_0^2
