X_power	W_power	literal_terms	semantic_degree	sha256
3	32	9434	4	774a3bbff1d31a7e5f19bc8670e378983b5f3de9b7b049d0d08020c51ca94001
4	31	10231	4	936dd91cf9d41437aeead6b08bf4603d48a56cc246be679cde87fab49915b577
5	30	10168	4	9c417f2f00f97c0a18f033748479de2b00108afc4c928674ab2eddec60d12e02
6	29	9222	4	20c838c69ca5cfd727ae35ab62130a608e364218c02f67cce10f2f5f70f8055e
7	28	7535	4	bb4c38e367e49cae9c943de35e1d31360ba3104e589a7c2642b0110b5e428a3a
8	27	5188	4	a2cd071775f6f970f7eda7acebb2ea97dd74b5988ea4a994cbea9a650748f3b9
9	26	2522	4	29827d7aa31184c35c073f1e63c5f38fd5b997d54ee92dc61a9d1a3634b5603b
10	25	323	4	7b7431c2f3d710856339344d5e4ccd08d33b974d2dd77e2a4056083689e8c572
0	36	3217	4	eb97dc203ccc115c3e95ae29d4ad2099fb522a08e7b3cd140a1fabf191f384ce
1	35	5700	4	68b7004b1014cbd459e1c895ef5055a7ce43f8cfe7477896ea3fd9120e4516f0
2	34	8167	4	df2d7a8aa454b472f1de5c7825ef51655d19db9ff0c8c458995d18acfff29a12
3	33	9932	4	674cc0ada7faa345008a2d871f3a685e302a14eac53fa175f4328bd5adeee796
4	32	10960	4	78563258c8a6cc1fa64f887eed420f6022721c9c344624658c1ed6a1993a2d2e
5	31	10948	4	5d630b50937c912445ded29fd467b6c91d685d3283b1598e7ab6d507749a18b9
6	30	10169	4	936eea74f70e962f58960153e64fc1c368cd3c64d22bdf67e42c1f14aa79b903
7	29	8442	4	8a8ed5a09af4b3b6e434458e0fb42969dd9eac7f38c4c636de3599076c38f0e1
8	28	6130	4	06b76e19d53fcbc5989ca809d3bb4c0090af20207874cc965d84cc33b04c62d6
9	27	3274	4	5061d651e7be6a47284412c0059e9b960ce103a213565025ed3ad4878abc01e3
10	26	724	4	aa09851fd1e4d4e8f625393ff612fd0beedd623c58a5e639401ba6bf488bb1f9
0	37	3308	4	3bf063eec5eedcc3907c4edd95c10f569a173a294931289f6269c4aecf80ef1c
1	36	5968	4	0f6af3f551c8b5679c535eb996edb680a4804ac3323d9d7d553f320ef8cfed03
2	35	8404	4	b5b5645e0d29e11cb45dd3b48168c46f47f1578780d7db8df174048754bea4bd
3	34	10589	4	f852dcc0cab11334614dd9fbe4cff6d008fd01d41ba05bea5f5a4c0f8d6b9bcf
4	33	11709	4	2561d168b6a9b45d8a8c041584c9e276d0040920eac13d9d44a370d1a9ac1ddc
5	32	11743	4	026ccc5783001af7640e9b1e39689dcea639256f066d297748b85d8603fa8442
6	31	11154	4	027ce96f8d5eace23e99d594d47dde6957922181ac206100176187efc194db12
7	30	9550	4	513c5a32ac114145c443ac8ad56010279b72b396d15b0505cede147edbd7508d
8	29	6992	4	ddfb6defb481cf5f01264b8fe49aba712daa63838e73f09765a2b8728d8a6623
9	28	4211	4	c6f95ef080df2f904399b69b71774cfb90b14d43e0eba48abfe3987fedd25c4d
10	27	1321	4	13ccc45ebdc103a4b866224f98958e1381584877c159a129dc1ba71c0c0c4afa
11	26	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	38	3386	4	d2647cb4afa1c27fc96f3dac1f278c46465d07c1323e96fe301f1fc309a74e0a
1	37	6091	4	833697286cbf83d03c4e695bb9b2ce14c08db127712a26dc8ba19000bc6001e5
2	36	8912	4	fc71c4748ab4174cf33a5121f0d74813d517d487f23d00cb8401e5d89a267bec
