source_index|h_power|x_power|y_power|expr
134|0|1|7|-B2_1_7+auxQ2_1_7-2*h_0_0*h_1_7-2*h_0_1*h_1_6-2*h_0_2*h_1_5
135|0|1|8|auxQ2_1_8-2*h_0_1*h_1_7-2*h_0_2*h_1_6-2*h_0_3*h_1_5
136|0|1|9|auxQ2_1_9-2*h_0_2*h_1_7-2*h_0_3*h_1_6-2*h_0_4*h_1_5
137|0|1|10|auxQ2_1_10-2*h_0_3*h_1_7-2*h_0_4*h_1_6-2*h_0_5*h_1_5
138|0|1|11|auxQ2_1_11-2*h_0_4*h_1_7-2*h_0_5*h_1_6-2*h_0_6*h_1_5
139|0|1|12|auxQ2_1_12-2*h_0_5*h_1_7-2*h_0_6*h_1_6-2*h_0_7*h_1_5
140|0|1|13|auxQ2_1_13-2*h_0_6*h_1_7-2*h_0_7*h_1_6-2*h_1_5
141|0|1|14|auxQ2_1_14-2*h_0_7*h_1_7-2*h_1_6
142|0|1|15|auxQ2_1_15-2*h_1_7
143|0|2|10|auxQ2_2_10-h_1_5^2
144|0|2|11|auxQ2_2_11-2*h_1_5*h_1_6
145|0|2|12|auxQ2_2_12-2*h_1_5*h_1_7-h_1_6^2
146|0|2|13|auxQ2_2_13-2*h_1_6*h_1_7
147|0|2|14|auxQ2_2_14-h_1_7^2
148|1|0|0|B2_1_0*auxP3_0_1-auxP3_1_0*auxQ2_0_1
149|1|0|1|2*B2_1_0*auxP3_0_2+B2_1_1*auxP3_0_1-2*auxP3_1_0*auxQ2_0_2-auxP3_1_1*auxQ2_0_1
150|1|0|2|3*B2_1_0*auxP3_0_3+2*B2_1_1*auxP3_0_2+B2_1_2*auxP3_0_1-3*auxP3_1_0*auxQ2_0_3-2*auxP3_1_1*auxQ2_0_2-auxP3_1_2*auxQ2_0_1
151|1|0|3|4*B2_1_0*auxP3_0_4+3*B2_1_1*auxP3_0_3+2*B2_1_2*auxP3_0_2+B2_1_3*auxP3_0_1-4*auxP3_1_0*auxQ2_0_4-3*auxP3_1_1*auxQ2_0_3-2*auxP3_1_2*auxQ2_0_2-auxP3_1_3*auxQ2_0_1
152|1|0|4|5*B2_1_0*auxP3_0_5+4*B2_1_1*auxP3_0_4+3*B2_1_2*auxP3_0_3+2*B2_1_3*auxP3_0_2+B2_1_4*auxP3_0_1-5*auxP3_1_0*auxQ2_0_5-4*auxP3_1_1*auxQ2_0_4-3*auxP3_1_2*auxQ2_0_3-2*auxP3_1_3*auxQ2_0_2-auxP3_1_4*auxQ2_0_1
153|1|0|5|6*B2_1_0*auxP3_0_6+5*B2_1_1*auxP3_0_5+4*B2_1_2*auxP3_0_4+3*B2_1_3*auxP3_0_3+2*B2_1_4*auxP3_0_2+auxP3_0_1*auxQ2_1_5-6*auxP3_1_0*auxQ2_0_6-5*auxP3_1_1*auxQ2_0_5-4*auxP3_1_2*auxQ2_0_4-3*auxP3_1_3*auxQ2_0_3-2*auxP3_1_4*auxQ2_0_2-auxP3_1_5*auxQ2_0_1
154|1|0|6|7*B2_1_0*auxP3_0_7+6*B2_1_1*auxP3_0_6+5*B2_1_2*auxP3_0_5+4*B2_1_3*auxP3_0_4+3*B2_1_4*auxP3_0_3+auxP3_0_1*auxQ2_1_6+2*auxP3_0_2*auxQ2_1_5-7*auxP3_1_0*auxQ2_0_7-6*auxP3_1_1*auxQ2_0_6-5*auxP3_1_2*auxQ2_0_5-4*auxP3_1_3*auxQ2_0_4-3*auxP3_1_4*auxQ2_0_3-2*auxP3_1_5*auxQ2_0_2-auxP3_1_6*auxQ2_0_1
