emitted_index	block	label	terms	primitive_sha256
109	T2_upper	T2_Rhigh_68_49	146	75c087b89b00f64bb4854cb258586061899dae8f18862bf66b17e1f31d742fb2
110	T2_upper	T2_Rhigh_68_50	171	78edc15424af5f0432ca9d1898afe1edbcee48f0a43cdbd8efa5d026078c7fad
111	T2_upper	T2_Rhigh_68_51	195	369923e624972ad8e2ebfe39d8affb3f93de1c863a1df9b75230b955be3c59ba
112	T2_upper	T2_Rhigh_68_52	220	5ced07f422d54fc4529830700117bc32161a434d143228b3f2e39bb8ea6a2b6c
113	T2_upper	T2_Rhigh_68_53	240	72a3d028fe9f48d0358f42a07c03aeb9ad2d04da745ef8767518f863313dd700
114	T2_upper	T2_Rhigh_68_54	210	1bf0b86d5efcd0f071e59eada3b9334f5de33111890b973e54d8caaf7a3ddcb3
115	T2_upper	T2_Rhigh_68_55	166	bf9b9726f442a1a64b054dc4644bec5e060f635b4350e5b31252d85474c63a93
116	T2_upper	T2_Rhigh_68_56	142	0b6e6b8b07bc74d834f6083daa33702365c2363e90d691440887ee71356d13c8
117	T2_upper	T2_Rhigh_68_57	117	ec3091417ee5e3a6767d9c31f7638d6af3dba2494987048be5c722e8476fff5d
118	T2_upper	T2_Rhigh_68_58	93	35e7a30bc57a8a8a3f63ae11b080e3047f1ac2aa75189b45e316ceb0b9239483
119	T2_upper	T2_Rhigh_68_59	68	78b61e0af9e5956e99ff28fe603a467526c99b329ae3947eb5ece4726bca2034
120	T2_upper	T2_Rhigh_68_60	44	217d375790275a73812aac398b4717adeade296af41bbe47b600e46eba4e94e5
121	T2_upper	T2_Rhigh_68_61	24	70d22e825900b1c61476919d892312584708db12cb1e0a014c12c306169c5536
122	T2_upper	T2_Rhigh_68_62	10	23b40eb41595937ba197131dbcf04de2e6d9e9dd0fee6b198e1d16c73907f145
123	T2_upper	T2_Rhigh_69_45	118	8e3ce5f58b555e8b68abc742edc945bfe96b13a1a14df9e7b3d2706676c400af
124	T2_upper	T2_Rhigh_69_46	143	8c0ee8f9528e37f2f407fcae0673e72314c57b530286a0a39928d5dcb53c846a
125	T2_upper	T2_Rhigh_69_47	178	0cf0a8b2b8690c99619fd3f2672b4f086d750f6041aae6db954988642e9f90c5
126	T2_upper	T2_Rhigh_69_48	213	453ee6b9736d2e2585332a236915e3041d0c3efb121d5fe71cf9fcd23dffba20
127	T2_upper	T2_Rhigh_69_49	248	09b6eafc472ffd7ea8ec5e9da9bf31f11088d6cb6797e8e2cbc448c2e86d4288
128	T2_upper	T2_Rhigh_69_50	283	80308ed731e8b4908d117482fc94eef760a8f700baceae869b00bbec41460298
129	T2_upper	T2_Rhigh_69_51	318	f3183ca2dd946e0b28cb3c4cdd92c059efedcd71fde9c3a4c79d7df0ed600ef3
130	T2_upper	T2_Rhigh_69_52	348	e76bf7827853e79d30cc999a3bb1a2cf62b28f345773c037f92ddee7976e37df
131	T2_upper	T2_Rhigh_69_53	301	a8086d7c65f8c07a1a04cde4882d12dc79314340baefea4b1b83394581962d9c
132	T2_upper	T2_Rhigh_69_54	238	d92d89088896ffcfa56e3e2f3dae8a2b43797a07936745e384a4efb4d8657c6e
133	T2_upper	T2_Rhigh_69_55	203	9d2aa5d3079db6120392281367d240602a6ae286663db07d958fb0f253c82b22
134	T2_upper	T2_Rhigh_69_56	168	0def4c170785c8e3f9f2ffa6116dfee3fca9160c01eb73c4bd64eadb4dbf0f39
135	T2_upper	T2_Rhigh_69_57	133	d5aef3075c1f4fd589efdb60e72b4ba2fa7f2873787440f9a71d09603c516a8a
136	T2_upper	T2_Rhigh_69_58	98	d8169e63cf941714c5430d4a47d17199c8ff467b16334e52f44873a71536aa73
137	T2_upper	T2_Rhigh_69_59	63	b7e526ca3a37547958d2ae055b0a58474841a9e1a7802b0e6f327be42257fd19
138	T2_upper	T2_Rhigh_69_60	33	85e2f71c2969c8bc07a312b9c26972265f4253387539092a626f549c89d2ecde
139	T2_upper	T2_Rhigh_69_61	14	6e3acd232948e7faae0bff292e9461ca5081428a921aaf2f29b9d739d2f619fc
140	T2_upper	T2_Rhigh_70_44	114	ed2475a92ab11922e58cb2884cb6a937708c1a4b37613da7cb33bb14c5f1bc91
141	T2_upper	T2_Rhigh_70_45	164	7171579011b24a9653ccc09414ea2531bb9a2b1ccfe77149836bad6b949e149c
142	T2_upper	T2_Rhigh_70_46	212	31f1d6b2c034973ad5df7c8d9c57252fcce7cb67b039b99a554135677e7eb6bc
143	T2_upper	T2_Rhigh_70_47	259	4c380f49a10dcf90d8292a21788e72bf6aac80bd4136490c249f2e3520f27226
144	T2_upper	T2_Rhigh_70_48	307	fd52b207444b167a0c4878214d5b09d0d523028a00160444c20c0db61e8635b3
145	T2_upper	T2_Rhigh_70_49	354	c3542d5fdf6fe0016b69de849ccc81ae445beb1cb668797d73faf89c32dd00b0
146	T2_upper	T2_Rhigh_70_50	402	489e9af074347a6ac61063b15bd3272d15800861bb3cc5349072e1ecaf04a661
