admissible rows 48<=n<=100 (Kmin=16, full (1)-(13)): 592
  u_s=1 (Prop 6.4 automatic): 457
  u_s>=2 (hypothesis live)  : 135
  u_s<=0 (no minor disc)    : 0

AUTO  n= 75 m= 50 M=(-50, 60, 73) d=(75, 25, 5, 1) V=(9, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
AUTO  n= 75 m= 50 M=(-50, 60, 73) d=(75, 25, 5, 1) V=(20, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (15,10)
AUTO  n= 80 m= 32 M=(-32, 52, 78) d=(80, 16, 4, 2) V=(1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,8)
AUTO  n= 80 m= 48 M=(-48, 28, 78) d=(80, 16, 4, 2) V=(12, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, 52, 78) d=(80, 16, 4, 2) V=(2, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 32 M=(-32, 56, 78) d=(80, 16, 8, 2) V=(1, 7) d_s=8 v_s=7 u_s=1 v/u=7 ell=5 -> (10,4)
AUTO  n= 80 m= 32 M=(-32, -8, 44, 78) d=(80, 16, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,8)
AUTO  n= 80 m= 32 M=(-32, 40, 76, 78) d=(80, 16, 8, 4, 2) V=(1, 5, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,8)
AUTO  n= 80 m= 32 M=(-32, 56, 76, 78) d=(80, 16, 8, 4, 2) V=(8, 4, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,8)
AUTO  n= 80 m= 48 M=(-48, -40, 28, 78) d=(80, 16, 8, 4, 2) V=(12, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, -24, 28, 78) d=(80, 16, 8, 4, 2) V=(12, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, -24, 68, 78) d=(80, 16, 8, 4, 2) V=(2, 1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, -8, 28, 78) d=(80, 16, 8, 4, 2) V=(12, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, -8, 44, 78) d=(80, 16, 8, 4, 2) V=(2, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, -8, 68, 78) d=(80, 16, 8, 4, 2) V=(2, 1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, 8, 28, 78) d=(80, 16, 8, 4, 2) V=(12, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, 24, 28, 78) d=(80, 16, 8, 4, 2) V=(12, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 48 M=(-48, 24, 68, 78) d=(80, 16, 8, 4, 2) V=(2, 1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,12)
AUTO  n= 80 m= 64 M=(-64, -24, 4, 78) d=(80, 16, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,16)
AUTO  n= 80 m= 64 M=(-64, -24, 20, 78) d=(80, 16, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,16)
AUTO  n= 80 m= 64 M=(-64, -24, 60, 78) d=(80, 16, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,16)
AUTO  n= 80 m= 64 M=(-64, -8, 44, 78) d=(80, 16, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,16)
AUTO  n= 80 m= 64 M=(-64, -8, 68, 78) d=(80, 16, 8, 4, 2) V=(4, 2, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,16)
AUTO  n= 80 m= 60 M=(-60, -8, 78) d=(80, 20, 4, 2) V=(15, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,15)
AUTO  n= 80 m= 60 M=(-60, 44, 78) d=(80, 20, 4, 2) V=(1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,15)
AUTO  n= 80 m= 60 M=(-60, 44, 78) d=(80, 20, 4, 2) V=(2, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,15)
AUTO  n= 80 m= 60 M=(-60, 44, 78) d=(80, 20, 4, 2) V=(15, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,15)
AUTO  n= 80 m= 60 M=(-60, 52, 78) d=(80, 20, 4, 2) V=(1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,15)
AUTO  n= 80 m= 60 M=(-60, 68, 78) d=(80, 20, 4, 2) V=(7, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (20,15)
AUTO  n= 80 m= 60 M=(-60, 45, 78) d=(80, 20, 5, 1) V=(1, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (16,12)
LIVE  n= 80 m= 60 M=(-60, 30, 78) d=(80, 20, 10, 2) V=(1, 8) d_s=10 v_s=8 u_s=2 v/u=4 ell=5 -> (16,12)
